s_ID,name,language,genre
SO557,Eat Your Salad,English,Pop
SO558,Disko,Slovene,Pop
SO559,Intention,English,Rock
SO560,Guilty Pleasure,"English, Croatian",Ballad
SO561,The Show,English,Rock
SO562,Halo,English,Dance
SO563,I.M,English,Pop
SO564,Lock Me In,English,Rock
SO565,I Am What I Am,English,Pop
SO566,Stripper,"Italian, English",Rock
SO567,Ela,"English, Greek",Pop
SO568,That's Rich,English,Pop
SO569,Circles,English,Ballad
SO570,Breathe,"English, Italian",Ballad
SO571,Tattoo,English,Pop
SO572,Cha Cha Cha,Finnish,Pop
SO573,Unicorn,English,Pop
SO574,Due vite,Italian,Ballad
SO575,Queen of Kings,English,Pop
SO576,Heart of Steel,"English, Ukrainian",Pop
SO577,Because of You,English,Pop
SO578,Bridges,English,Ballad
SO579,Promise,English,Rock
SO580,My Sister's Crown,"English, Ukrainian, Czech, Bulgarian",Pop
SO581,Stay,English,Ballad
SO582,Break a Broken Heart,English,Ballad
SO583,Mama ŠC!,Croatian,Pop
SO584,Future Lover,"English, Armenian",Ballad
SO585,Who the Hell Is Edgar?,English,Pop
SO586,Évidemment,French,Ballad
SO587,Eaea,Spanish,Traditional
SO588,Soarele si luna,Romanian,Traditional
SO589,Solo,English,Pop
SO590,Watergun,English,Ballad
SO591,Carpe Diem,Slovene,Rock
SO592,Duje,Albanian,Traditional
SO593,Ai coraçao,Portuguese,Pop
SO594,Samo mi se spava,"Serbian, English",Pop
SO595,I Wrote a Song,English,Pop
SO596,Blood & Glitter,English,Rock
SO597,Dance (Our Own Party),English,Pop
SO598,Aija,English,Rock
SO599,We Are One,English,Rock
SO600,Tell Me More,English,Pop
SO601,Burning Daylight,English,Ballad
SO602,Breaking My Heart,English,Pop
SO603,D.G.T. (Off and On),"Romanian, English",Pop
SO604,Power,English,Pop
SO605,What They Say,English,Pop
SO606,Echo,English,Ballad
SO607,Like an Animal,English,Rock
