s_ID,song_name,country,artist,p_year,final_place,performance_vid
S101,Divlji vjetre,Croatia,Damir Keda¾o,2020,,https://youtube.com/watch?v=2rOwScdxjJU
S102,Do It for Your Lover,Spain,Manel Navarro,2017,26,https://youtube.com/watch?v=qAOXHdLdlqQ
S103,Dona,North Macedonia,Kaliopi,2016,28,https://youtube.com/watch?v=uIIzwFoE6ME
S104,Don't Break Me,Australia,Montaigne,2020,,https://youtube.com/watch?v=gr-wWxu4974
S105,Don't Close Your Eyes,Slovakia,Max Jason Mai,2012,38,https://youtube.com/watch?v=OTXz60794lI
S106,Don't Come Easy,Australia,Isaiah Firebrace,2017,9,https://youtube.com/watch?v=YTCP4S1dqwA
S107,Drip Drop,Azerbaijan,Safura,2010,5,https://youtube.com/watch?v=7zWO-V0dmHg
S108,Due vite,Italy,Marco Mengoni,2023,4,https://youtube.com/watch?v=_iS4STWKSvk
S109,Duje,Albania,Albina & Familja Kelmendi,2023,22,https://youtube.com/watch?v=mp8OG4ApocI
S110,Dying To Try,Republic of Ireland,Brendan Murray,2017,31,https://youtube.com/watch?v=EOpZikqrfOA
S111,Eaea,Spain,Blanca Paloma,2023,17,https://youtube.com/watch?v=NGnEoSypBhE
S112,Eastern European Funk,Lithuania,InCulto,2010,28,https://youtube.com/watch?v=XeOn-GG_eHo
S113,Eat Your Salad,Latvia,Citi Za“ni,2022,32,https://youtube.com/watch?v=TM0_0WfuxSk
S114,Echo,Georgia,Iru,2023,29,https://youtube.com/watch?v=E8kO-QPippo
S115,Echo (You And I),France,Anggun,2012,22,https://youtube.com/watch?v=0DZ7DbdeOeE
S116,El Diablo,Cyprus,Elena Tsagrinou,2021,16,https://youtube.com/watch?v=MgGc1F_cOE8
S117,Ela,Cyprus,Andromache,2022,29,
S118,Embers,United Kingdom,James Newman,2021,26,https://youtube.com/watch?v=VxNOynEJ6wc
S119,Empires,Poland,Alicja Szemplia„ska,2020,,https://youtube.com/watch?v=s_Y7mMka4SQ
S120,Et Cetera,Republic of Ireland,Sinaad Mulvey & Black Daisy,2009,27,https://youtube.com/watch?v=fL8xgcsvKdY
S121,Et S'il Fallait Le Faire,France,Patricia Kaas,2009,8,https://youtube.com/watch?v=C3eYBMYeUE8
S122,Et Uus Saaks Alguse,Estonia,Birgit,2013,20,https://youtube.com/watch?v=Ooo6GvZNLhI
S123,Euphoria,Sweden,Loreen,2012,1,https://youtube.com/watch?v=Pfo-8z86x80
S124,Euro Neuro,Montenegro,Rambo Amadeus,2012,39,https://youtube.com/watch?v=JHnqF5PLP2w
S125,Eyes That Never Lie,Belarus,Petr Elfimov,2009,32,https://youtube.com/watch?v=xy4CX_IKEfQ
S126,Face The Shadow,Armenia,Genealogy,2015,16,https://youtube.com/watch?v=BYXr2FccjKE
S127,Fade To Black,Azerbaijan,Nadir Rustamli,2022,16,
S128,Fai rumore,Italy,Diodato,2020,,https://youtube.com/watch?v=TA57rugucwk
S129,Fairytale,Norway,Alexander Rybak,2009,1,https://youtube.com/watch?v=WXwgZL4zx9o
S130,Fairytale,Albania,Eneda Tarifa,2016,37,https://youtube.com/watch?v=jdT5EGcTjYw
S131,Fall From The Sky,Albania,Arilena Ara,2020,,https://youtube.com/watch?v=p-E-kIFPrsY
S132,Fallen Angel,Norway,TIX,2021,18,https://youtube.com/watch?v=F0r3vmGLzZU
S133,Falling Stars,Moldova,Lidia Isac,2016,40,https://youtube.com/watch?v=LlhV-E6leTI
S134,Feel The Passion,Albania,Aurela Gaae,2011,30,https://youtube.com/watch?v=Mq0H6gY2jq4
S135,Feker Libi,Israel,Eden Alene,2020,,https://youtube.com/watch?v=YjzyZZ-oidc
S136,Firefly,Cyprus,Christina Metaxa,2009,31,https://youtube.com/watch?v=NeYGROG0mZc
S137,Flashlight,Poland,Kasia Moa›,2017,22,https://youtube.com/watch?v=xVCokUW3BUo
S138,Fly With Me,Armenia,Artsvik,2017,18,https://youtube.com/watch?v=g373Libigw8
S139,For You,Georgia,Ethno-Jazz Band Iriao,2018,41,https://youtube.com/watch?v=FvVx5-mzmm0
S140,Forever,Belarus,Alekseev,2018,37,https://youtube.com/watch?v=ywy_y24v_ao
S141,Freaky!,San Marino,Senhit,2020,,https://youtube.com/watch?v=c6ZNo_hVA6E
S142,Friend of a Friend,Czech Republic,Lake Malawi,2019,11,https://youtube.com/watch?v=NJxLKFZKhNs
S143,Fuego,Cyprus,Eleni Foureira,2018,2,https://youtube.com/watch?v=vyDTbJ4wenY
S144,Fulenn,France,Alvan & Ahez,2022,24,https://youtube.com/watch?v=H1lcGXwOqJI
S145,Funny Girl,Latvia,Laura Rizzotto,2018,28,https://youtube.com/watch?v=KGxANwWKz3U
S146,Future Lover,Armenia,Brunette,2023,14,https://youtube.com/watch?v=Co8ZJIejXBA
S147,Get You,Russia,Alexej Vorobjov,2011,16,https://youtube.com/watch?v=C-3ohaRN3MM
S148,Ghost,Germany,Jamie-Lee Kriewitz,2016,26,https://youtube.com/watch?v=bHDHi37bboE
S149,Give That Wolf a Banana,Norway,Subwoolfer,2022,10,https://youtube.com/watch?v=adCU2rQyDeY
S150,Glorious,Germany,Cascada,2013,21,https://youtube.com/watch?v=3HYTd7WDCPg
S151,Golden Boy,Israel,Nadav Guedj,2015,9,https://youtube.com/watch?v=5bi1lK91bas
S152,Goodbye,Romania,The Humans,2018,27,https://youtube.com/watch?v=DGR4S3y7qcw
S153,Goodbye (Shelter),Serbia,Sanja Vuaiat ZAA,2016,18,https://youtube.com/watch?v=yTlxLiSQWjk
S154,Goodbye to Yesterday,Estonia,Elina Born & Stig Rasta,2015,7,https://youtube.com/watch?v=gSWbx3CvVUk
S155,Grab the Moment,Norway,Jowst,2017,10,https://youtube.com/watch?v=U-Bk0PCotY0
