vote_ID,year,from_country,to_country,points
V07530,2017,Republic of Ireland,Bulgaria,16
V07531,2017,Republic of Ireland,Moldova,8
V07532,2017,Republic of Ireland,Belgium,17
V07533,2017,Republic of Ireland,Sweden,6
V07534,2017,Republic of Ireland,Italy,1
V07535,2017,Republic of Ireland,Romania,20
V07536,2017,Republic of Ireland,Hungary,2
V07537,2017,Republic of Ireland,Australia,0
V07538,2017,Republic of Ireland,Norway,2
V07539,2017,Republic of Ireland,Netherlands,4
V07540,2017,Republic of Ireland,France,0
V07541,2017,Republic of Ireland,Croatia,3
V07542,2017,Republic of Ireland,Azerbaijan,1
V07543,2017,Republic of Ireland,United Kingdom,4
V07544,2017,Republic of Ireland,Austria,7
V07545,2017,Republic of Ireland,Belarus,0
V07546,2017,Republic of Ireland,Armenia,0
V07547,2017,Republic of Ireland,Greece,0
V07548,2017,Republic of Ireland,Denmark,0
V07549,2017,Republic of Ireland,Cyprus,0
V07550,2017,Republic of Ireland,Poland,7
V07551,2017,Republic of Ireland,Israel,0
V07552,2017,Republic of Ireland,Ukraine,0
V07553,2017,Republic of Ireland,Germany,3
V07554,2017,Republic of Ireland,Spain,0
V07555,2018,Republic of Ireland,Israel,13
V07556,2018,Republic of Ireland,Cyprus,17
V07557,2018,Republic of Ireland,Austria,5
V07558,2018,Republic of Ireland,Germany,16
V07559,2018,Republic of Ireland,Italy,0
V07560,2018,Republic of Ireland,Czech Republic,7
V07561,2018,Republic of Ireland,Sweden,0
V07562,2018,Republic of Ireland,Estonia,7
V07563,2018,Republic of Ireland,Denmark,2
V07564,2018,Republic of Ireland,Moldova,1
V07565,2018,Republic of Ireland,Albania,2
V07566,2018,Republic of Ireland,Lithuania,12
V07567,2018,Republic of Ireland,France,4
V07568,2018,Republic of Ireland,Bulgaria,10
V07569,2018,Republic of Ireland,Norway,0
V07570,2018,Republic of Ireland,Republic of Ireland,0
V07571,2018,Republic of Ireland,Ukraine,0
V07572,2018,Republic of Ireland,Netherlands,3
V07573,2018,Republic of Ireland,Serbia,0
V07574,2018,Republic of Ireland,Australia,0
V07575,2018,Republic of Ireland,Hungary,0
V07576,2018,Republic of Ireland,Slovenia,0
V07577,2018,Republic of Ireland,Spain,1
V07578,2018,Republic of Ireland,United Kingdom,10
V07579,2018,Republic of Ireland,Finland,0
V07580,2018,Republic of Ireland,Portugal,6
V07581,2019,Republic of Ireland,Netherlands,16
V07582,2019,Republic of Ireland,Italy,5
V07583,2019,Republic of Ireland,Russia,8
V07584,2019,Republic of Ireland,Switzerland,17
V07585,2019,Republic of Ireland,Sweden,14
V07586,2019,Republic of Ireland,Norway,18
V07587,2019,Republic of Ireland,North Macedonia,5
V07588,2019,Republic of Ireland,Azerbaijan,7
V07589,2019,Republic of Ireland,Australia,14
V07590,2019,Republic of Ireland,Iceland,6
V07591,2019,Republic of Ireland,Czech Republic,0
V07592,2019,Republic of Ireland,Denmark,0
V07593,2019,Republic of Ireland,Cyprus,0
V07594,2019,Republic of Ireland,Malta,0
V07595,2019,Republic of Ireland,Slovenia,0
V07596,2019,Republic of Ireland,France,0
V07597,2019,Republic of Ireland,Albania,0
V07598,2019,Republic of Ireland,Serbia,0
V07599,2019,Republic of Ireland,San Marino,0
V07600,2019,Republic of Ireland,Estonia,1
V07601,2019,Republic of Ireland,Greece,0
V07602,2019,Republic of Ireland,Spain,0
V07603,2019,Republic of Ireland,Israel,0
V07604,2019,Republic of Ireland,Belarus,0
V07605,2019,Republic of Ireland,Germany,2
V07606,2019,Republic of Ireland,United Kingdom,3
V07607,2021,Republic of Ireland,Italy,6
V07608,2021,Republic of Ireland,France,19
V07609,2021,Republic of Ireland,Switzerland,8
V07610,2021,Republic of Ireland,Iceland,18
V07611,2021,Republic of Ireland,Ukraine,14
V07612,2021,Republic of Ireland,Finland,5
V07613,2021,Republic of Ireland,Malta,14
V07614,2021,Republic of Ireland,Lithuania,16
V07615,2021,Republic of Ireland,Russia,0
V07616,2021,Republic of Ireland,Greece,0
V07617,2021,Republic of Ireland,Bulgaria,1
V07618,2021,Republic of Ireland,Portugal,2
V07619,2021,Republic of Ireland,Moldova,0
V07620,2021,Republic of Ireland,Sweden,1
V07621,2021,Republic of Ireland,Serbia,0
V07622,2021,Republic of Ireland,Cyprus,0
V07623,2021,Republic of Ireland,Israel,0
V07624,2021,Republic of Ireland,Norway,7
V07625,2021,Republic of Ireland,Belgium,3
V07626,2021,Republic of Ireland,Azerbaijan,2
V07627,2021,Republic of Ireland,Albania,0
V07628,2021,Republic of Ireland,San Marino,0
V07629,2021,Republic of Ireland,Netherlands,0
V07630,2021,Republic of Ireland,Spain,0
V07631,2021,Republic of Ireland,Germany,0
V07632,2021,Republic of Ireland,United Kingdom,0
V07633,2022,Republic of Ireland,Ukraine,15
V07634,2022,Republic of Ireland,United Kingdom,14
V07635,2022,Republic of Ireland,Spain,17
V07636,2022,Republic of Ireland,Sweden,13
V07637,2022,Republic of Ireland,Serbia,6
V07638,2022,Republic of Ireland,Italy,6
V07639,2022,Republic of Ireland,Moldova,7
V07640,2022,Republic of Ireland,Greece,0
V07641,2022,Republic of Ireland,Portugal,4
V07642,2022,Republic of Ireland,Norway,4
V07643,2022,Republic of Ireland,Netherlands,0
V07644,2022,Republic of Ireland,Poland,10
V07645,2022,Republic of Ireland,Estonia,0
V07646,2022,Republic of Ireland,Lithuania,8
V07647,2022,Republic of Ireland,Australia,2
V07648,2022,Republic of Ireland,Azerbaijan,0
V07649,2022,Republic of Ireland,Switzerland,0
V07650,2022,Republic of Ireland,Romania,2
V07651,2022,Republic of Ireland,Belgium,0
V07652,2022,Republic of Ireland,Armenia,0
V07653,2022,Republic of Ireland,Finland,0
V07654,2022,Republic of Ireland,Czech Republic,7
V07655,2022,Republic of Ireland,Iceland,1
V07656,2022,Republic of Ireland,France,0
V07657,2022,Republic of Ireland,Germany,0
